num_of_run|moves_in_game|end|time
0|141|[1, 1, 1, 0, 0, 0]|2020-05-23 14:09:06.215950
1|189|[1, 1, 1, 0, 0, 0]|2020-05-23 14:09:08.158670
2|150|[1, 1, 1, 0, 0, 0]|2020-05-23 14:09:09.760788
3|93|[1, 1, 1, 0, 0, 0]|2020-05-23 14:09:10.777955
4|67|[1, 1, 1, 0, 0, 0]|2020-05-23 14:09:11.455174
5|117|[1, 1, 1, 0, 0, 0]|2020-05-23 14:09:12.735233
6|115|[1, 1, 1, 0, 0, 0]|2020-05-23 14:09:13.723804
7|99|[1, 1, 0, 0, 0, 0]|2020-05-23 14:09:14.663835
8|134|[0, 0, 0, 1, 1, 0]|2020-05-23 14:09:16.782288
9|195|[1, 0, 0, 0, 0, 0]|2020-05-23 14:09:18.971497
10|73|[1, 1, 0, 0, 0, 0]|2020-05-23 14:09:19.644717
11|107|[1, 1, 0, 0, 0, 0]|2020-05-23 14:09:20.709400
12|64|[1, 1, 1, 0, 0, 0]|2020-05-23 14:09:21.328828
13|269|[1, 1, 1, 0, 0, 0]|2020-05-23 14:09:23.889569
14|404|[1, 1, 1, 0, 0, 0]|2020-05-23 14:09:28.057097
15|120|[1, 1, 1, 0, 0, 0]|2020-05-23 14:09:29.171379
16|117|[1, 1, 0, 0, 0, 0]|2020-05-23 14:09:30.594012
17|190|[1, 1, 1, 0, 0, 0]|2020-05-23 14:09:32.248543
18|55|[1, 1, 0, 0, 0, 0]|2020-05-23 14:09:32.784532
19|85|[1, 1, 0, 0, 0, 0]|2020-05-23 14:09:33.567141
20|88|[1, 1, 1, 0, 0, 0]|2020-05-23 14:09:34.356887
21|94|[1, 1, 0, 0, 0, 0]|2020-05-23 14:09:35.280304
22|104|[1, 1, 1, 0, 0, 0]|2020-05-23 14:09:36.181286
23|53|[1, 1, 1, 0, 0, 0]|2020-05-23 14:09:36.686797
24|442|[1, 1, 1, 0, 0, 0]|2020-05-23 14:09:41.084066
25|614|[1, 1, 1, 0, 0, 0]|2020-05-23 14:09:47.216797
26|119|[1, 1, 1, 0, 0, 0]|2020-05-23 14:09:48.276319
27|129|[1, 1, 1, 0, 0, 0]|2020-05-23 14:09:49.591549
28|161|[1, 1, 0, 0, 0, 0]|2020-05-23 14:09:50.899684
29|97|[1, 1, 1, 0, 0, 0]|2020-05-23 14:09:51.883312
30|63|[1, 1, 0, 0, 0, 0]|2020-05-23 14:09:52.593471
31|40|[0, 0, 0, 1, 0, 0]|2020-05-23 14:09:52.977878
32|148|[1, 1, 0, 0, 0, 0]|2020-05-23 14:09:54.400190
33|136|[1, 1, 1, 0, 0, 0]|2020-05-23 14:09:55.671004
34|181|[1, 1, 1, 0, 0, 0]|2020-05-23 14:09:57.429719
35|86|[1, 1, 0, 0, 0, 0]|2020-05-23 14:09:58.236359
36|147|[1, 1, 0, 0, 0, 0]|2020-05-23 14:09:59.574536
37|82|[1, 1, 0, 0, 0, 0]|2020-05-23 14:10:00.301816
38|93|[1, 1, 1, 0, 0, 0]|2020-05-23 14:10:01.314947
39|67|[1, 1, 1, 0, 0, 0]|2020-05-23 14:10:01.905787
40|129|[1, 1, 0, 0, 0, 0]|2020-05-23 14:10:03.193782
41|129|[1, 1, 1, 0, 0, 0]|2020-05-23 14:10:04.353170
42|101|[1, 1, 0, 0, 0, 0]|2020-05-23 14:10:05.780860
43|89|[1, 1, 1, 0, 0, 0]|2020-05-23 14:10:06.537317
44|56|[1, 0, 0, 0, 0, 0]|2020-05-23 14:10:06.982974
45|54|[1, 1, 0, 0, 0, 0]|2020-05-23 14:10:07.544915
46|313|[0, 0, 0, 1, 1, 0]|2020-05-23 14:10:10.794081
47|141|[1, 1, 1, 0, 0, 0]|2020-05-23 14:10:12.092405
48|89|[1, 1, 0, 0, 0, 0]|2020-05-23 14:10:12.910885
49|56|[1, 1, 0, 0, 0, 0]|2020-05-23 14:10:13.522133
50|53|[1, 1, 0, 0, 0, 0]|2020-05-23 14:10:14.063963
51|72|[1, 1, 0, 0, 0, 0]|2020-05-23 14:10:14.811436
52|144|[1, 1, 0, 0, 0, 0]|2020-05-23 14:10:15.974050
53|211|[1, 1, 0, 0, 0, 0]|2020-05-23 14:10:18.211547
54|78|[1, 1, 0, 0, 0, 0]|2020-05-23 14:10:19.018459
55|90|[1, 1, 0, 0, 0, 0]|2020-05-23 14:10:19.915422
56|197|[0, 0, 0, 1, 1, 1]|2020-05-23 14:10:21.714183
57|148|[1, 1, 1, 0, 0, 0]|2020-05-23 14:10:23.152257
58|90|[1, 1, 1, 0, 0, 0]|2020-05-23 14:10:23.943711
59|65|[1, 1, 0, 0, 0, 0]|2020-05-23 14:10:24.567566
60|202|[1, 1, 1, 0, 0, 0]|2020-05-23 14:10:26.414597
61|112|[1, 1, 0, 0, 0, 0]|2020-05-23 14:10:27.641850
62|137|[1, 1, 0, 0, 0, 0]|2020-05-23 14:10:28.884977
63|71|[1, 1, 0, 0, 0, 0]|2020-05-23 14:10:29.565075
64|78|[1, 1, 1, 0, 0, 0]|2020-05-23 14:10:30.210656
65|110|[1, 1, 1, 0, 0, 0]|2020-05-23 14:10:31.224039
66|65|[1, 1, 1, 0, 0, 0]|2020-05-23 14:10:31.817108
67|110|[1, 1, 0, 0, 0, 0]|2020-05-23 14:10:32.779171
68|54|[1, 1, 0, 0, 0, 0]|2020-05-23 14:10:33.339914
69|117|[1, 1, 0, 0, 0, 0]|2020-05-23 14:10:34.566290
